Date,Open,High,Low,Close,Adj Close,Volume
2016-05-03,106.403000,106.403000,105.540001,106.396004,106.396004,0
2016-05-04,106.695999,107.349998,106.283997,106.680000,106.680000,0
2016-05-05,106.940002,107.434998,106.809998,106.919998,106.919998,0
2016-05-06,107.357002,107.421997,106.472000,107.275002,107.275002,0
2016-05-09,107.337997,108.596001,107.247002,107.360001,107.360001,0
2016-05-10,108.370003,109.261002,108.317001,108.331001,108.331001,0
2016-05-11,109.209999,109.209999,108.440002,109.194000,109.194000,0
2016-05-12,108.440002,109.377998,108.241997,108.415001,108.415001,0
2016-05-13,109.122002,109.454002,108.514000,109.099998,109.099998,0
2016-05-16,108.670998,108.970001,108.633003,108.661003,108.661003,0
2016-05-17,109.070000,109.641998,108.850998,109.080002,109.080002,0
2016-05-18,109.026001,109.819000,108.752998,108.949997,108.949997,0
2016-05-19,110.200996,110.356003,109.705002,110.139999,110.139999,0
2016-05-20,109.912003,110.575996,109.857002,109.880997,109.880997,0
2016-05-23,110.066002,110.066002,109.339996,110.050003,110.050003,0
2016-05-24,109.343002,110.045998,109.169998,109.374001,109.374001,0
2016-05-25,110.160004,110.443001,109.860001,110.169998,110.169998,0
2016-05-26,110.098999,110.125999,109.425003,110.111000,110.111000,0
2016-05-27,109.680000,109.989998,109.487999,109.712997,109.712997,0
2016-05-30,110.762001,111.419998,110.720001,110.769997,110.769997,0
2016-05-31,110.853996,111.330002,110.777000,110.841003,110.841003,0
2016-06-01,110.650002,110.823997,109.059998,110.669998,110.669998,0
2016-06-02,109.401001,109.442001,108.527000,109.476997,109.476997,0
2016-06-03,108.918999,109.127998,106.637001,108.860001,108.860001,0
2016-06-06,106.695000,107.421997,106.555000,106.721001,106.721001,0
2016-06-07,107.400002,107.873001,107.190002,107.438004,107.438004,0
2016-06-08,107.241997,107.261002,106.606003,107.253998,107.253998,0
2016-06-09,106.804001,106.863998,106.278000,106.779999,106.779999,0
2016-06-10,107.078003,107.220001,106.695000,107.089996,107.089996,0
2016-06-13,106.482002,106.625999,105.745003,106.503998,106.503998,0
2016-06-14,106.199997,106.403999,105.648003,106.225998,106.225998,0
2016-06-15,106.064003,106.370003,105.786003,106.086998,106.086998,0
2016-06-16,105.860001,105.860001,103.629997,105.849998,105.849998,0
2016-06-17,104.773003,104.806000,104.099998,104.742996,104.742996,0
2016-06-20,104.658997,104.833000,104.300003,104.648003,104.648003,0
2016-06-21,103.792999,104.739998,103.614998,103.823997,103.823997,0
2016-06-22,104.669998,104.764999,104.333000,104.669998,104.669998,0
2016-06-23,104.584999,106.000000,104.252998,104.650002,104.650002,0
2016-06-24,104.903000,105.498001,99.973000,104.896004,104.896004,0
2016-06-27,102.220001,102.398003,101.449997,102.126999,102.126999,0
2016-06-28,101.749001,102.794998,101.584999,101.811996,101.811996,0
2016-06-29,102.690002,102.786003,102.190002,102.700996,102.700996,0
2016-06-30,102.734001,102.939003,102.393997,102.778000,102.778000,0
2016-07-01,103.053001,103.148003,102.456001,103.072998,103.072998,0
2016-07-04,102.464996,102.795998,102.459999,102.487999,102.487999,0
2016-07-05,102.519997,102.521004,101.459999,102.517998,102.517998,0
2016-07-06,101.160004,101.273003,100.214996,101.140999,101.140999,0
2016-07-07,101.095001,101.230003,100.610001,101.150002,101.150002,0
2016-07-08,100.796997,101.153000,100.096001,100.790001,100.790001,0
2016-07-11,100.676003,102.690002,100.559998,100.692001,100.692001,0
2016-07-12,102.502998,104.792999,102.464996,102.524002,102.524002,0
2016-07-13,104.732002,104.846001,103.962997,104.755997,104.755997,0
2016-07-14,104.036003,105.908997,104.036003,104.075996,104.075996,0
2016-07-15,105.160004,106.305000,105.150002,105.191002,105.191002,0
2016-07-18,105.435997,106.176003,105.303001,105.459000,105.459000,0
2016-07-19,106.138000,106.530998,105.674004,106.146004,106.146004,0
2016-07-20,106.136002,106.782997,105.850998,106.137001,106.137001,0
2016-07-21,107.165001,107.484001,105.443001,107.204002,107.204002,0
2016-07-22,105.794998,106.384003,105.601997,105.810997,105.810997,0
2016-07-25,106.264000,106.704002,105.946999,106.325996,106.325996,0
2016-07-26,105.587997,105.634003,104.028999,105.578003,105.578003,0
2016-07-27,104.833000,106.510002,104.833000,104.848999,104.848999,0
2016-07-28,104.935997,105.149002,104.521004,104.950996,104.950996,0
2016-07-29,104.772003,104.806000,102.278000,104.745003,104.745003,0
2016-08-01,102.347000,102.680000,102.138000,102.332001,102.332001,0
2016-08-02,102.306999,102.794998,100.814003,102.359001,102.359001,0
2016-08-03,101.078003,101.545998,100.748001,101.068001,101.068001,0
2016-08-04,101.319000,101.663002,100.866997,101.336998,101.336998,0
2016-08-05,101.226997,102.030998,100.888000,101.198997,101.198997,0
2016-08-08,102.038002,102.626999,101.910004,102.144997,102.144997,0
2016-08-09,102.282997,102.516998,101.800003,102.288002,102.288002,0
2016-08-10,101.921997,101.921997,100.969002,101.915001,101.915001,0
2016-08-11,101.136002,101.495003,101.025002,101.133003,101.133003,0
2016-08-12,101.811996,102.268997,100.862000,101.807999,101.807999,0
2016-08-15,101.264000,101.447998,100.887001,101.282997,101.282997,0
2016-08-16,101.250999,101.250999,99.572998,101.239998,101.239998,0
2016-08-17,100.211998,101.123001,100.168999,100.199997,100.199997,0
2016-08-18,99.892998,100.472000,99.652000,99.905998,99.905998,0
2016-08-19,100.140999,100.429001,100.045998,100.112000,100.112000,0
2016-08-22,100.541000,100.926003,100.224998,100.554001,100.554001,0
2016-08-23,100.301003,100.379997,99.956001,100.250999,100.250999,0
2016-08-24,100.348000,100.578003,100.098000,100.310997,100.310997,0
2016-08-25,100.549004,100.595001,100.307999,100.552002,100.552002,0
2016-08-26,100.556999,101.289001,100.087997,100.555000,100.555000,0
2016-08-29,101.960999,102.382004,101.863998,101.919998,101.919998,0
2016-08-30,101.811996,102.947998,101.755997,101.808998,101.808998,0
2016-08-31,102.873001,103.519997,102.873001,102.867996,102.867996,0
2016-09-01,103.306999,103.994003,103.082001,103.302002,103.302002,0
2016-09-02,103.249001,104.285004,102.843002,103.258003,103.258003,0
2016-09-05,103.958000,104.011002,103.153999,103.933998,103.933998,0
2016-09-06,103.527000,103.806000,102.047997,103.510002,103.510002,0
2016-09-07,101.542999,101.755997,101.228996,101.525002,101.525002,0
2016-09-08,101.817001,102.283997,101.447998,101.829002,101.829002,0
2016-09-09,102.306000,103.021004,101.987999,102.306000,102.306000,0
2016-09-12,102.467003,102.650002,101.771004,102.438004,102.438004,0
2016-09-13,101.755997,102.410004,101.472000,101.750999,101.750999,0
2016-09-14,102.533997,103.335999,102.332001,102.503998,102.503998,0
2016-09-15,102.526001,102.731003,101.959000,102.547997,102.547997,0
2016-09-16,101.984001,102.394997,101.774002,102.008003,102.008003,0
2016-09-19,102.331001,102.362999,101.581001,102.306999,102.306999,0
2016-09-20,101.904999,102.047997,101.572998,101.846001,101.846001,0
2016-09-21,101.594002,102.777000,100.563004,101.546997,101.546997,0
2016-09-22,100.402000,100.891998,100.100998,100.392998,100.392998,0
2016-09-23,100.803001,101.230003,100.689003,100.831001,100.831001,0
2016-09-26,100.910004,101.075996,100.295998,100.889000,100.889000,0
2016-09-27,100.384003,100.975998,100.140999,100.359001,100.359001,0
2016-09-28,100.474998,100.811996,100.422997,100.468002,100.468002,0
2016-09-29,100.944000,101.809998,100.920998,100.934998,100.934998,0
2016-09-30,101.186996,101.686996,100.755997,101.198997,101.198997,0
2016-10-03,101.539001,101.652000,101.214996,101.563004,101.563004,0
2016-10-04,101.835999,102.862999,101.832001,101.817001,101.817001,0
2016-10-05,102.842003,103.583000,102.681999,102.879997,102.879997,0
2016-10-06,103.448997,104.146004,103.347000,103.459999,103.459999,0
2016-10-07,103.752998,103.977997,102.871002,103.764999,103.764999,0
2016-10-10,103.057999,103.744003,102.818001,103.017998,103.017998,0
2016-10-11,103.736000,104.064003,103.316002,103.696999,103.696999,0
2016-10-12,103.306000,104.473000,103.300003,103.342003,103.342003,0
2016-10-13,104.317001,104.611000,103.359001,104.304001,104.304001,0
2016-10-14,103.752998,104.459000,103.665001,103.722000,103.722000,0
2016-10-17,104.080002,104.351997,103.902000,104.039001,104.039001,0
2016-10-18,103.859001,104.190002,103.689003,103.850998,103.850998,0
2016-10-19,103.874001,103.935997,103.182999,103.864998,103.864998,0
2016-10-20,103.439003,104.073997,103.416000,103.390999,103.390999,0
2016-10-21,104.129997,104.198997,103.524002,104.109001,104.109001,0
2016-10-24,103.906998,104.299004,103.720001,103.917000,103.917000,0
2016-10-25,104.290001,104.864998,104.250000,104.320999,104.320999,0
2016-10-26,104.143997,104.469002,104.024002,104.153999,104.153999,0
2016-10-27,104.571999,105.154999,104.325996,104.563004,104.563004,0
2016-10-28,105.235001,105.495003,105.066002,105.209000,105.209000,0
2016-10-31,104.567001,105.217003,104.541000,104.565002,104.565002,0
2016-11-01,104.829002,105.120003,104.457001,104.820000,104.820000,0
2016-11-02,104.083000,104.155998,103.108002,104.092003,104.092003,0
2016-11-03,103.392998,103.435997,102.575996,103.377998,103.377998,0
2016-11-04,103.044998,103.343002,102.842003,103.052002,103.052002,0
2016-11-07,104.180000,104.625000,103.847000,104.195000,104.195000,0
2016-11-08,104.455002,104.820999,104.302002,104.438004,104.438004,0
2016-11-09,104.992996,105.420998,101.206001,105.029999,105.029999,0
2016-11-10,105.849998,106.934998,105.023003,105.852997,105.852997,0
2016-11-11,106.806000,106.916000,106.054001,106.856003,106.856003,0
2016-11-14,106.862999,108.467003,106.862999,106.871002,106.871002,0
2016-11-15,108.222000,108.974998,107.790001,108.202003,108.202003,0
2016-11-16,109.005997,109.747002,108.808998,109.038002,109.038002,0
2016-11-17,108.781998,109.612999,108.572998,108.785004,108.785004,0
2016-11-18,110.237000,110.876999,109.815002,110.255997,110.255997,0
2016-11-21,110.929001,111.164001,110.505997,110.973000,110.973000,0
2016-11-22,110.677002,111.353996,110.285004,110.650002,110.650002,0
2016-11-23,110.999001,112.943001,110.862999,111.005997,111.005997,0
2016-11-24,112.512001,113.511002,112.427002,112.582001,112.582001,0
2016-11-25,113.273003,113.889999,112.610001,113.292000,113.292000,0
2016-11-28,112.650002,112.767998,111.394997,112.652000,112.652000,0
2016-11-29,111.705002,113.300003,111.705002,111.690002,111.690002,0
2016-11-30,112.503998,113.942001,112.066002,112.470001,112.470001,0
2016-12-01,114.670998,114.712997,113.841003,114.694000,114.694000,0
2016-12-02,113.902000,114.157997,113.334000,113.908997,113.908997,0
2016-12-05,113.525002,114.771004,113.334999,113.504997,113.504997,0
2016-12-06,113.882004,114.167000,113.514999,113.862999,113.862999,0
2016-12-07,114.082001,114.384003,113.518997,114.052002,114.052002,0
2016-12-08,113.772003,114.361000,113.202003,113.712997,113.712997,0
2016-12-09,114.063004,115.265999,114.019997,114.074997,114.074997,0
